fold,local_index,event_id,soh_bin,mileage,n_candidates_mileage,n_neighbors_available
0,65,157,"(0.919, 0.925]",58027.516800000005,9,5
0,71,172,"(0.919, 0.925]",62138.6304,15,5
0,72,178,"(0.919, 0.925]",63365.9136,16,5
0,953,1571,"(0.919, 0.925]",79482.48000000001,13,5
0,1021,1727,"(0.919, 0.925]",61567.33440000001,13,5
0,1022,1728,"(0.919, 0.925]",61762.4832,15,5
0,1113,1915,"(0.919, 0.925]",75168.61439999999,21,5
0,1995,3571,"(0.919, 0.925]",63127.152,16,5
0,2561,4485,"(0.919, 0.925]",81340.30080000001,13,5
0,3152,5579,"(0.919, 0.925]",76371.1872,22,5
0,3153,5580,"(0.919, 0.925]",76611.5328,21,5
0,3405,6039,"(0.919, 0.925]",79860.0,13,5
0,3431,6147,"(0.919, 0.925]",32410.9632,2,2
0,3432,6148,"(0.919, 0.925]",32604.0,2,2
0,3433,6149,"(0.919, 0.925]",32605.1616,2,2
0,4019,7204,"(0.919, 0.925]",83908.5984,13,5
0,4368,7763,"(0.919, 0.925]",84691.4112,13,5
0,4369,7765,"(0.919, 0.925]",85892.08320000001,13,5
0,4376,7781,"(0.919, 0.925]",90454.5312,12,5
0,5409,9492,"(0.919, 0.925]",76386.4992,22,5
0,5783,10227,"(0.919, 0.925]",62768.112,15,5
0,5785,10229,"(0.919, 0.925]",63369.82080000001,16,5
0,5786,10230,"(0.919, 0.925]",63734.880000000005,16,5
0,5787,10231,"(0.919, 0.925]",64032.7776,16,5
0,5976,10533,"(0.919, 0.925]",75971.91360000001,22,5
0,5977,10535,"(0.919, 0.925]",76707.9456,21,5
0,5978,10537,"(0.919, 0.925]",78031.11360000001,18,5
0,66,158,"(0.925, 0.93]",58276.83840000001,25,5
0,67,159,"(0.925, 0.93]",58641.264,25,5
0,73,179,"(0.925, 0.93]",63486.614400000006,43,5
0,197,394,"(0.925, 0.93]",33558.2016,0,0
0,941,1543,"(0.925, 0.93]",69712.47360000001,57,5
0,952,1565,"(0.925, 0.93]",78464.3904,48,5
0,1023,1729,"(0.925, 0.93]",62902.329600000005,39,5
0,1024,1730,"(0.925, 0.93]",63083.9616,39,5
0,1031,1740,"(0.925, 0.93]",66029.1456,53,5
0,1032,1741,"(0.925, 0.93]",66266.3232,53,5
0,1114,1916,"(0.925, 0.93]",75396.4992,57,5
0,1249,2200,"(0.925, 0.93]",68034.384,55,5
0,1254,2211,"(0.925, 0.93]",74211.456,54,5
0,1795,3117,"(0.925, 0.93]",66670.3488,54,5
0,1796,3118,"(0.925, 0.93]",66796.9632,54,5
0,1893,3351,"(0.925, 0.93]",56386.176,24,5
0,1913,3371,"(0.925, 0.93]",62283.6192,35,5
0,1915,3374,"(0.925, 0.93]",63419.2416,42,5
0,1994,3569,"(0.925, 0.93]",62403.8976,37,5
0,1996,3572,"(0.925, 0.93]",63438.7776,42,5
0,2530,4438,"(0.925, 0.93]",61829.64480000001,35,5
0,2531,4439,"(0.925, 0.93]",62080.444800000005,35,5
0,2548,4458,"(0.925, 0.93]",69110.448,56,5
0,2549,4459,"(0.925, 0.93]",69700.01280000001,57,5
0,2550,4460,"(0.925, 0.93]",69954.9312,57,5
